name,ingredients,type,meal,instructions
Garlic Beans Cauliflower Curry,"garlic, beans, cauliflower, potato, zucchini, paneer, black pepper, mint",vegetarian,breakfast,"To prepare Recipe 242, start by gathering the ingredients: garlic, beans, cauliflower, potato, zucchini, paneer, black pepper, mint. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Chili Carrot Garlic Curry,"chili, carrot, garlic, zucchini, capsicum, coriander",healthy,lunch,"To prepare Recipe 243, start by gathering the ingredients: chili, carrot, garlic, zucchini, capsicum, coriander. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Tomato Garlic Lemon Curry,"tomato, garlic, lemon, oats, green peas, potato",vegan,lunch,"To prepare Recipe 244, start by gathering the ingredients: tomato, garlic, lemon, oats, green peas, potato. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Sprouts Coconut Lemon Curry,"sprouts, coconut, lemon, capsicum, ginger, cumin, onion, chili",vegan,lunch,"To prepare Recipe 245, start by gathering the ingredients: sprouts, coconut, lemon, capsicum, ginger, cumin, onion, chili. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Cumin Tomato Lemon Curry,"cumin, tomato, lemon, ginger, zucchini, rice",vegetarian,dinner,"To prepare Recipe 246, start by gathering the ingredients: cumin, tomato, lemon, ginger, zucchini, rice. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Yogurt Carrot Oats Curry,"yogurt, carrot, oats, potato, sprouts, onion",healthy,dinner,"To prepare Recipe 247, start by gathering the ingredients: yogurt, carrot, oats, potato, sprouts, onion. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Capsicum Cumin Ginger Curry,"capsicum, cumin, ginger, yogurt, potato",vegetarian,breakfast,"To prepare Recipe 248, start by gathering the ingredients: capsicum, cumin, ginger, yogurt, potato. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Potato Onion Moong dal Curry,"potato, onion, moong dal, oats, rice, black pepper, quinoa, broccoli",vegan,dinner,"To prepare Recipe 249, start by gathering the ingredients: potato, onion, moong dal, oats, rice, black pepper, quinoa, broccoli. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Rice Tomato Coconut Curry,"rice, tomato, coconut, sprouts, paneer, cauliflower, broccoli, garlic",healthy,dinner,"To prepare Recipe 250, start by gathering the ingredients: rice, tomato, coconut, sprouts, paneer, cauliflower, broccoli, garlic. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Cauliflower Rice Carrot Curry,"cauliflower, rice, carrot, paneer, quinoa",vegan,lunch,"To prepare Recipe 251, start by gathering the ingredients: cauliflower, rice, carrot, paneer, quinoa. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Zucchini Black pepper Green peas Curry,"zucchini, black pepper, green peas, onion, spinach",healthy,lunch,"To prepare Recipe 252, start by gathering the ingredients: zucchini, black pepper, green peas, onion, spinach. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Green peas Capsicum Ginger Curry,"green peas, capsicum, ginger, fenugreek, sprouts, coconut",vegetarian,lunch,"To prepare Recipe 253, start by gathering the ingredients: green peas, capsicum, ginger, fenugreek, sprouts, coconut. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Mustard seeds Yogurt Garlic Curry,"mustard seeds, yogurt, garlic, coconut, mint, quinoa, spinach, paneer",vegetarian,lunch,"To prepare Recipe 254, start by gathering the ingredients: mustard seeds, yogurt, garlic, coconut, mint, quinoa, spinach, paneer. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Oats Sprouts Moong dal Curry,"oats, sprouts, moong dal, mint, black pepper, fenugreek",vegan,lunch,"To prepare Recipe 255, start by gathering the ingredients: oats, sprouts, moong dal, mint, black pepper, fenugreek. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Carrot Sprouts Chili Curry,"carrot, sprouts, chili, spinach, green peas, coriander",vegan,dinner,"To prepare Recipe 256, start by gathering the ingredients: carrot, sprouts, chili, spinach, green peas, coriander. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Beans Paneer Moong dal Curry,"beans, paneer, moong dal, turmeric, potato, tomato, chili, mint",healthy,breakfast,"To prepare Recipe 257, start by gathering the ingredients: beans, paneer, moong dal, turmeric, potato, tomato, chili, mint. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Broccoli Garlic Coconut Curry,"broccoli, garlic, coconut, cauliflower, green peas, coriander, sprouts",vegan,dinner,"To prepare Recipe 258, start by gathering the ingredients: broccoli, garlic, coconut, cauliflower, green peas, coriander, sprouts. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Paneer Coconut Capsicum Curry,"paneer, coconut, capsicum, zucchini, sprouts, quinoa, fenugreek, onion",vegan,dinner,"To prepare Recipe 259, start by gathering the ingredients: paneer, coconut, capsicum, zucchini, sprouts, quinoa, fenugreek, onion. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Sprouts Green peas Cumin Curry,"sprouts, green peas, cumin, turmeric, ginger",vegetarian,dinner,"To prepare Recipe 260, start by gathering the ingredients: sprouts, green peas, cumin, turmeric, ginger. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Mustard seeds Capsicum Turmeric Curry,"mustard seeds, capsicum, turmeric, oats, quinoa, spinach, green peas, coconut",vegetarian,dinner,"To prepare Recipe 261, start by gathering the ingredients: mustard seeds, capsicum, turmeric, oats, quinoa, spinach, green peas, coconut. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Zucchini Coriander Broccoli Curry,"zucchini, coriander, broccoli, carrot, mint, potato, green peas",vegan,dinner,"To prepare Recipe 262, start by gathering the ingredients: zucchini, coriander, broccoli, carrot, mint, potato, green peas. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Green peas Onion Turmeric Curry,"green peas, onion, turmeric, garlic, broccoli, yogurt, ginger, lemon",vegetarian,lunch,"To prepare Recipe 263, start by gathering the ingredients: green peas, onion, turmeric, garlic, broccoli, yogurt, ginger, lemon. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Black pepper Sprouts Capsicum Curry,"black pepper, sprouts, capsicum, mint, coriander, fenugreek",vegetarian,lunch,"To prepare Recipe 264, start by gathering the ingredients: black pepper, sprouts, capsicum, mint, coriander, fenugreek. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Yogurt Cauliflower Potato Curry,"yogurt, cauliflower, potato, coriander, capsicum, moong dal",healthy,dinner,"To prepare Recipe 265, start by gathering the ingredients: yogurt, cauliflower, potato, coriander, capsicum, moong dal. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"quinoa, turmeric, moong dal, potato, oats",vegetarian,breakfast,"To prepare Recipe 266, start by gathering the ingredients: quinoa, turmeric, moong dal, potato, oats. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"quinoa, broccoli, lemon, sprouts, onion",vegetarian,dinner,"To prepare Recipe 267, start by gathering the ingredients: quinoa, broccoli, lemon, sprouts, onion. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Lemon Black pepper Ginger Curry,"lemon, black pepper, ginger, carrot, spinach",vegan,lunch,"To prepare Recipe 268, start by gathering the ingredients: lemon, black pepper, ginger, carrot, spinach. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Turmeric Beans Chili Curry,"turmeric, beans, chili, spinach, mustard seeds, potato, green peas, moong dal",healthy,breakfast,"To prepare Recipe 269, start by gathering the ingredients: turmeric, beans, chili, spinach, mustard seeds, potato, green peas, moong dal. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Rice Sprouts Turmeric Curry,"rice, sprouts, turmeric, chili, green peas",vegetarian,breakfast,"To prepare Recipe 270, start by gathering the ingredients: rice, sprouts, turmeric, chili, green peas. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"quinoa, coriander, lemon, sprouts, turmeric",healthy,breakfast,"To prepare Recipe 271, start by gathering the ingredients: quinoa, coriander, lemon, sprouts, turmeric. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Mustard seeds Broccoli Oats Curry,"mustard seeds, broccoli, oats, fenugreek, tomato, mint",vegan,lunch,"To prepare Recipe 272, start by gathering the ingredients: mustard seeds, broccoli, oats, fenugreek, tomato, mint. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Beans Sprouts Black pepper Curry,"beans, sprouts, black pepper, cumin, broccoli, coriander, tomato, garlic",vegetarian,breakfast,"To prepare Recipe 273, start by gathering the ingredients: beans, sprouts, black pepper, cumin, broccoli, coriander, tomato, garlic. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"paneer, cumin, quinoa, mustard seeds, garlic, broccoli, carrot, turmeric",healthy,breakfast,"To prepare Recipe 274, start by gathering the ingredients: paneer, cumin, quinoa, mustard seeds, garlic, broccoli, carrot, turmeric. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Coconut Mint Ginger Curry,"coconut, mint, ginger, potato, zucchini, lemon, cumin",healthy,lunch,"To prepare Recipe 275, start by gathering the ingredients: coconut, mint, ginger, potato, zucchini, lemon, cumin. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Broccoli Mint Black pepper Curry,"broccoli, mint, black pepper, oats, tomato, paneer, cauliflower, onion",vegetarian,lunch,"To prepare Recipe 276, start by gathering the ingredients: broccoli, mint, black pepper, oats, tomato, paneer, cauliflower, onion. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"quinoa, fenugreek, turmeric, chili, lemon, beans",healthy,lunch,"To prepare Recipe 277, start by gathering the ingredients: quinoa, fenugreek, turmeric, chili, lemon, beans. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Coriander Cumin Moong dal Curry,"coriander, cumin, moong dal, beans, turmeric, capsicum, mint, sprouts",vegetarian,dinner,"To prepare Recipe 278, start by gathering the ingredients: coriander, cumin, moong dal, beans, turmeric, capsicum, mint, sprouts. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Rice Spinach Beans Curry,"rice, spinach, beans, broccoli, potato, chili, yogurt",healthy,dinner,"To prepare Recipe 279, start by gathering the ingredients: rice, spinach, beans, broccoli, potato, chili, yogurt. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Ginger Mustard seeds Garlic Curry,"ginger, mustard seeds, garlic, broccoli, chili",vegetarian,breakfast,"To prepare Recipe 280, start by gathering the ingredients: ginger, mustard seeds, garlic, broccoli, chili. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Tomato Spinach Capsicum Curry,"tomato, spinach, capsicum, ginger, rice, green peas, turmeric",vegan,dinner,"To prepare Recipe 281, start by gathering the ingredients: tomato, spinach, capsicum, ginger, rice, green peas, turmeric. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Oats Rice Sprouts Curry,"oats, rice, sprouts, cauliflower, yogurt, spinach, zucchini",vegetarian,lunch,"To prepare Recipe 282, start by gathering the ingredients: oats, rice, sprouts, cauliflower, yogurt, spinach, zucchini. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Mint Oats Sprouts Curry,"mint, oats, sprouts, carrot, broccoli, ginger, paneer, moong dal",healthy,lunch,"To prepare Recipe 283, start by gathering the ingredients: mint, oats, sprouts, carrot, broccoli, ginger, paneer, moong dal. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Beans Tomato Yogurt Curry,"beans, tomato, yogurt, carrot, chili, capsicum, coconut, fenugreek",vegetarian,dinner,"To prepare Recipe 284, start by gathering the ingredients: beans, tomato, yogurt, carrot, chili, capsicum, coconut, fenugreek. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Mint Cumin Chili Curry,"mint, cumin, chili, turmeric, coriander, quinoa",healthy,breakfast,"To prepare Recipe 285, start by gathering the ingredients: mint, cumin, chili, turmeric, coriander, quinoa. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Cauliflower Ginger Mint Curry,"cauliflower, ginger, mint, potato, lemon, chili",healthy,breakfast,"To prepare Recipe 286, start by gathering the ingredients: cauliflower, ginger, mint, potato, lemon, chili. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"quinoa, green peas, oats, moong dal, carrot, chili",vegan,breakfast,"To prepare Recipe 287, start by gathering the ingredients: quinoa, green peas, oats, moong dal, carrot, chili. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Rice Cumin Sprouts Curry,"rice, cumin, sprouts, beans, mustard seeds, quinoa, moong dal",vegetarian,dinner,"To prepare Recipe 288, start by gathering the ingredients: rice, cumin, sprouts, beans, mustard seeds, quinoa, moong dal. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"zucchini, rice, quinoa, cumin, potato, broccoli, mustard seeds, onion",vegetarian,dinner,"To prepare Recipe 289, start by gathering the ingredients: zucchini, rice, quinoa, cumin, potato, broccoli, mustard seeds, onion. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Oats Moong dal Black pepper Curry,"oats, moong dal, black pepper, mint, beans",vegetarian,breakfast,"To prepare Recipe 290, start by gathering the ingredients: oats, moong dal, black pepper, mint, beans. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Carrot Broccoli Rice Curry,"carrot, broccoli, rice, green peas, black pepper",vegan,dinner,"To prepare Recipe 291, start by gathering the ingredients: carrot, broccoli, rice, green peas, black pepper. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Carrot Cumin Moong dal Curry,"carrot, cumin, moong dal, black pepper, turmeric, oats",healthy,lunch,"To prepare Recipe 292, start by gathering the ingredients: carrot, cumin, moong dal, black pepper, turmeric, oats. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"quinoa, yogurt, coriander, carrot, broccoli, beans, mint",vegan,lunch,"To prepare Recipe 293, start by gathering the ingredients: quinoa, yogurt, coriander, carrot, broccoli, beans, mint. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Rice Potato Onion Curry,"rice, potato, onion, green peas, moong dal, ginger",healthy,breakfast,"To prepare Recipe 294, start by gathering the ingredients: rice, potato, onion, green peas, moong dal, ginger. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Coconut Rice Turmeric Curry,"coconut, rice, turmeric, spinach, zucchini, onion, potato, mint",healthy,lunch,"To prepare Recipe 295, start by gathering the ingredients: coconut, rice, turmeric, spinach, zucchini, onion, potato, mint. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Lemon Zucchini Coconut Curry,"lemon, zucchini, coconut, cauliflower, black pepper, carrot",vegan,dinner,"To prepare Recipe 296, start by gathering the ingredients: lemon, zucchini, coconut, cauliflower, black pepper, carrot. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Cauliflower Yogurt Fenugreek Curry,"cauliflower, yogurt, fenugreek, sprouts, paneer, rice, garlic",healthy,dinner,"To prepare Recipe 297, start by gathering the ingredients: cauliflower, yogurt, fenugreek, sprouts, paneer, rice, garlic. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"potato, garlic, quinoa, mustard seeds, broccoli, cauliflower, moong dal",vegetarian,dinner,"To prepare Recipe 298, start by gathering the ingredients: potato, garlic, quinoa, mustard seeds, broccoli, cauliflower, moong dal. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Spinach Coconut Green peas Curry,"spinach, coconut, green peas, lemon, capsicum",healthy,breakfast,"To prepare Recipe 299, start by gathering the ingredients: spinach, coconut, green peas, lemon, capsicum. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Yogurt Beans Sprouts Curry,"yogurt, beans, sprouts, oats, black pepper, potato, turmeric",vegan,breakfast,"To prepare Recipe 300, start by gathering the ingredients: yogurt, beans, sprouts, oats, black pepper, potato, turmeric. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Coconut Paneer Sprouts Curry,"coconut, paneer, sprouts, beans, chili, lemon",healthy,breakfast,"To prepare Recipe 301, start by gathering the ingredients: coconut, paneer, sprouts, beans, chili, lemon. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Potato Broccoli Cumin Curry,"potato, broccoli, cumin, garlic, turmeric",vegetarian,breakfast,"To prepare Recipe 302, start by gathering the ingredients: potato, broccoli, cumin, garlic, turmeric. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Spinach Turmeric Cauliflower Curry,"spinach, turmeric, cauliflower, paneer, green peas, oats, onion",healthy,breakfast,"To prepare Recipe 303, start by gathering the ingredients: spinach, turmeric, cauliflower, paneer, green peas, oats, onion. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Capsicum Mustard seeds Paneer Curry,"capsicum, mustard seeds, paneer, zucchini, tomato, lemon, ginger",vegetarian,dinner,"To prepare Recipe 304, start by gathering the ingredients: capsicum, mustard seeds, paneer, zucchini, tomato, lemon, ginger. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Coriander Mustard seeds Paneer Curry,"coriander, mustard seeds, paneer, black pepper, garlic, yogurt",healthy,lunch,"To prepare Recipe 305, start by gathering the ingredients: coriander, mustard seeds, paneer, black pepper, garlic, yogurt. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Paneer Green peas Carrot Curry,"paneer, green peas, carrot, mustard seeds, tomato, zucchini, turmeric",vegetarian,breakfast,"To prepare Recipe 306, start by gathering the ingredients: paneer, green peas, carrot, mustard seeds, tomato, zucchini, turmeric. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Beans Cauliflower Fenugreek Curry,"beans, cauliflower, fenugreek, ginger, zucchini, oats, quinoa, chili",healthy,lunch,"To prepare Recipe 307, start by gathering the ingredients: beans, cauliflower, fenugreek, ginger, zucchini, oats, quinoa, chili. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Tomato Oats Cumin Curry,"tomato, oats, cumin, moong dal, paneer, black pepper, ginger, beans",vegetarian,dinner,"To prepare Recipe 308, start by gathering the ingredients: tomato, oats, cumin, moong dal, paneer, black pepper, ginger, beans. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Onion Cumin Green peas Curry,"onion, cumin, green peas, paneer, zucchini, lemon",healthy,lunch,"To prepare Recipe 309, start by gathering the ingredients: onion, cumin, green peas, paneer, zucchini, lemon. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Coriander Oats Cumin Curry,"coriander, oats, cumin, paneer, zucchini, sprouts",vegan,lunch,"To prepare Recipe 310, start by gathering the ingredients: coriander, oats, cumin, paneer, zucchini, sprouts. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"quinoa, yogurt, tomato, paneer, turmeric, mustard seeds, beans",vegan,lunch,"To prepare Recipe 311, start by gathering the ingredients: quinoa, yogurt, tomato, paneer, turmeric, mustard seeds, beans. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"oats, turmeric, quinoa, yogurt, chili, capsicum, moong dal",vegan,dinner,"To prepare Recipe 312, start by gathering the ingredients: oats, turmeric, quinoa, yogurt, chili, capsicum, moong dal. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Coriander Black pepper Capsicum Curry,"coriander, black pepper, capsicum, turmeric, rice, potato, onion",vegan,breakfast,"To prepare Recipe 313, start by gathering the ingredients: coriander, black pepper, capsicum, turmeric, rice, potato, onion. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"quinoa, green peas, mint, onion, garlic, fenugreek",vegan,breakfast,"To prepare Recipe 314, start by gathering the ingredients: quinoa, green peas, mint, onion, garlic, fenugreek. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Rice Chili Green peas Curry,"rice, chili, green peas, zucchini, potato",vegetarian,lunch,"To prepare Recipe 315, start by gathering the ingredients: rice, chili, green peas, zucchini, potato. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Cauliflower Rice Ginger Curry,"cauliflower, rice, ginger, potato, mint",vegetarian,dinner,"To prepare Recipe 316, start by gathering the ingredients: cauliflower, rice, ginger, potato, mint. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"black pepper, garlic, quinoa, oats, spinach",vegan,dinner,"To prepare Recipe 317, start by gathering the ingredients: black pepper, garlic, quinoa, oats, spinach. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Rice Capsicum Paneer Curry,"rice, capsicum, paneer, coconut, cauliflower, spinach, quinoa, yogurt",healthy,lunch,"To prepare Recipe 318, start by gathering the ingredients: rice, capsicum, paneer, coconut, cauliflower, spinach, quinoa, yogurt. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Garlic Yogurt Ginger Curry,"garlic, yogurt, ginger, tomato, fenugreek, chili",healthy,dinner,"To prepare Recipe 319, start by gathering the ingredients: garlic, yogurt, ginger, tomato, fenugreek, chili. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Lemon Onion Broccoli Curry,"lemon, onion, broccoli, cauliflower, ginger",vegetarian,breakfast,"To prepare Recipe 320, start by gathering the ingredients: lemon, onion, broccoli, cauliflower, ginger. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Black pepper Onion Green peas Curry,"black pepper, onion, green peas, fenugreek, lemon, spinach, coconut",vegan,breakfast,"To prepare Recipe 321, start by gathering the ingredients: black pepper, onion, green peas, fenugreek, lemon, spinach, coconut. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
